Ticker,Earning Date,^GSPC,^GSPC_pctchange_5,^GSPC_pctchange_21,^GSPC_pctchange_yoy,^RUT,^RUT_pctchange_5,^RUT_pctchange_21,^RUT_pctchange_yoy,^VIX,^VIX_pctchange_5,^VIX_pctchange_21,^VIX_pctchange_yoy,GC=F,GC=F_pctchange_5,GC=F_pctchange_21,GC=F_pctchange_yoy,CL=F,CL=F_pctchange_5,CL=F_pctchange_21,CL=F_pctchange_yoy,^TNX,^TNX_pctchange_5,^TNX_pctchange_21,^TNX_pctchange_yoy,^FVX,^FVX_pctchange_5,^FVX_pctchange_21,^FVX_pctchange_yoy
VLO,2021-04-22,4134.98,-0.85,5.74,47.79,2232.61,-1.08,2.15,83.9,18.71,12.91,-7.83,-54.78,1781.2,0.89,3.28,2.76,61.43,-3.2,6.35,272.3,1.55,-1.21,-6.39,127.19,0.8,-2.31,-6.31,153.8
VRSN,2016-07-28,2170.06,0.23,6.58,2.91,1217.33,1.12,9.94,-1.2,12.72,-0.16,-32.16,4.86,1332.3,0.14,1.29,22.3,41.14,-8.07,-14.02,-8.92,1.51,-3.76,3.78,-24.03,1.09,-2.32,8.96,-14.93
VRSN,2016-10-27,2133.04,-0.39,-1.77,2.09,1189.95,-2.45,-5.23,2.09,15.36,11.71,23.97,5.13,1267.9,0.18,-4.37,11.07,49.72,-1.41,11.31,6.72,1.84,5.92,14.61,-18.77,1.34,7.47,15.74,-23.89
VRSN,2017-02-09,2307.87,1.18,1.72,26.18,1378.53,1.55,0.56,44.54,10.88,-8.8,-5.31,-61.34,1235.1,1.51,4.3,3.38,53.0,-1.01,4.29,93.08,2.39,-3.85,0.63,34.48,1.87,-3.26,-0.74,54.16
VRSN,2017-04-27,2388.77,1.4,1.28,15.08,1417.13,2.38,3.65,24.27,10.36,-26.78,-10.15,-31.93,1263.7,-1.42,0.67,1.73,48.97,-2.59,1.24,11.19,2.3,2.64,-4.17,57.26,1.82,3.35,-5.7,81.72
VRSN,2017-07-27,2475.42,0.08,2.32,14.07,1433.62,-0.61,2.14,17.77,10.11,5.53,-8.59,-20.52,1259.6,1.19,1.06,-4.63,49.04,4.81,10.85,14.26,2.31,3.49,0.35,45.37,1.85,2.5,-2.12,63.71
VRSN,2017-10-26,2560.4,-0.07,2.13,20.04,1497.46,-0.3,0.85,25.84,11.3,12.44,14.49,-26.43,1266.3,-1.6,-1.33,0.12,52.64,2.63,0.96,7.04,2.45,2.98,4.92,-1.01,2.07,2.43,6.98,5.45
VRSN,2018-02-08,2581.0,-8.54,-6.19,11.83,1463.79,-7.35,-6.17,6.18,33.46,148.4,231.94,207.54,1316.9,-2.04,0.4,6.62,61.15,-7.07,-2.87,15.38,2.85,-0.11,11.72,24.17,2.57,-1.19,9.42,40.33
VRSN,2018-04-26,2666.94,-0.97,2.08,11.64,1557.89,-1.01,2.93,9.93,16.24,1.75,-27.82,56.76,1316.3,-2.26,-1.86,4.16,68.19,-0.15,4.51,39.25,2.99,1.32,9.44,34.62,2.82,0.93,10.59,55.23
VRSN,2018-07-26,2837.44,1.17,4.2,14.62,1695.36,-0.35,1.61,18.26,12.14,-5.67,-23.74,20.08,1225.3,0.24,-2.49,-2.72,69.61,0.22,-1.3,41.95,2.97,2.76,4.42,28.84,2.86,3.25,4.65,49.71
VRSN,2018-10-25,2705.57,-2.28,-6.9,5.67,1500.4,-3.87,-11.3,0.2,24.22,20.74,87.9,114.34,1229.1,0.21,2.94,-2.94,67.33,-1.92,-5.92,27.91,3.14,-1.94,1.82,28.95,2.98,-2.36,0.68,33.39
VRSN,2019-02-07,2706.05,0.07,5.11,0.91,1505.63,0.41,5.54,-0.16,16.37,-1.21,-20.03,-40.97,1309.4,-0.78,2.04,-0.17,52.64,-2.14,5.75,-14.81,2.65,-1.45,-1.81,-4.95,2.46,-1.99,-2.65,-6.18
VRSN,2019-04-25,2926.17,0.89,3.82,10.86,1575.61,0.51,3.1,1.62,13.25,5.16,-9.74,-25.73,1275.8,0.28,-2.93,-3.44,65.21,2.27,8.79,-4.17,2.53,-1.02,4.97,-12.01,2.33,-1.65,3.88,-15.21
