Ticker,Publish Date,Earning Date,epsestimate,epsactual,epssurprisepct
DG,2021-03-19,2021-03-18,2.72,2.62,-3.78
DG,2021-05-27,2021-05-27,2.19,2.82,28.71
DGX,2016-07-25,2016-07-21,1.32,1.34,1.75
DGX,2016-10-21,2016-10-20,1.35,1.37,1.33
DGX,2017-02-22,2017-01-26,1.27,1.31,2.99
DGX,2017-04-21,2017-04-20,1.18,1.33,12.43
DGX,2017-07-25,2017-07-25,1.42,1.55,9.54
DGX,2017-10-19,2017-10-19,1.35,1.39,2.73
DGX,2018-02-23,2018-02-01,1.38,1.4,1.16
DGX,2018-04-20,2018-04-19,1.49,1.52,1.95
DGX,2018-07-25,2018-07-24,1.76,1.75,-0.34
DGX,2018-10-24,2018-10-23,1.68,1.68,0.18
DGX,2019-02-21,2019-02-14,1.37,1.36,-0.51
DGX,2019-04-24,2019-04-23,1.36,1.4,2.71
DGX,2019-07-24,2019-07-23,1.68,1.73,3.16
DGX,2019-10-23,2019-10-22,1.71,1.76,2.86
DGX,2020-02-20,2020-01-30,1.6,1.67,4.18
DGX,2020-05-04,2020-04-22,0.89,0.94,5.26
DGX,2020-07-24,2020-07-23,1.41,1.42,0.78
DGX,2020-10-23,2020-10-22,3.73,4.31,15.58
DGX,2021-02-22,2021-02-04,4.24,4.48,5.61
DGX,2021-04-23,2021-04-22,3.71,3.76,1.32
DIS,2016-08-09,2016-08-09,1.61,1.62,0.75
DIS,2016-11-23,2016-11-10,1.16,1.1,-4.76
DIS,2017-02-07,2017-02-07,1.49,1.55,3.96
DIS,2017-05-09,2017-05-09,1.41,1.5,6.23
DIS,2017-08-08,2017-08-08,1.55,1.58,1.67
DIS,2017-11-22,2017-11-09,1.13,1.07,-4.97
DIS,2018-02-06,2018-02-06,1.61,1.89,17.54
DIS,2018-05-08,2018-05-08,1.7,1.84,8.55
DIS,2018-08-07,2018-08-07,1.95,1.87,-4.15
DIS,2018-11-21,2018-11-08,1.34,1.48,10.78
DIS,2019-02-05,2019-02-05,1.55,1.84,19.02
DIS,2019-05-08,2019-05-08,1.58,1.61,1.77
DIS,2019-08-06,2019-08-06,1.75,1.35,-22.81
DIS,2019-11-20,2019-11-07,0.95,1.07,12.99
DIS,2020-02-04,2020-02-04,1.44,1.53,6.18
DIS,2020-05-05,2020-05-05,0.89,0.6,-32.2
DIS,2020-08-04,2020-08-04,-0.64,0.08,112.48
DIS,2020-11-25,2020-11-12,-0.7,-0.2,71.39
DIS,2021-02-11,2021-02-11,-0.41,0.32,177.86
DIS,2021-05-13,2021-05-13,0.27,0.79,189.38
DOW,2019-05-03,2019-04-02,,,
DOW,2019-05-03,2019-05-02,0.92,0.92,0.55
DOW,2019-07-25,2019-07-25,0.84,0.86,2.75
DOW,2019-10-25,2019-10-24,0.73,0.91,25.0
DOW,2020-02-07,2020-01-29,0.74,0.78,5.12
DOW,2020-05-01,2020-04-30,0.59,0.59,0.0
DOW,2020-07-24,2020-07-23,-0.3,-0.26,13.04
DOW,2020-10-23,2020-10-22,0.33,0.5,49.7
DOW,2021-02-05,2021-01-28,0.67,0.81,20.9
DOW,2021-04-23,2021-04-22,1.17,1.36,16.04
DRE,2016-08-03,2016-07-27,0.07,0.31,355.88
DRE,2016-10-28,2016-10-26,0.07,0.32,357.14
DRE,2017-02-17,2017-01-25,0.07,0.13,85.71
DRE,2017-04-28,2017-04-26,0.06,0.2,217.46
DRE,2017-08-02,2017-07-26,0.08,3.38,4233.33
DRE,2017-10-27,2017-10-25,0.09,0.46,422.73
DRE,2018-02-16,2018-01-31,0.1,0.52,447.37
DRE,2018-05-04,2018-04-25,0.07,0.2,185.71
DRE,2018-07-27,2018-07-25,0.11,0.54,400.0
DRE,2018-10-31,2018-10-24,0.12,0.15,27.12
DRE,2019-02-22,2019-01-30,0.12,0.18,45.16
DRE,2019-04-26,2019-04-24,0.09,0.12,36.36
DRE,2019-08-02,2019-07-31,0.14,0.2,47.06
DRE,2019-11-01,2019-10-30,0.14,0.62,336.62
DRE,2020-02-25,2020-01-29,0.13,0.23,79.69
DRE,2020-05-01,2020-04-29,0.1,0.05,-50.0
DRE,2020-07-31,2020-07-29,0.13,0.11,-12.0
DRE,2020-10-29,2020-10-28,0.14,0.19,35.71
DRE,2021-02-19,2021-01-27,0.15,0.45,192.21
DRE,2021-04-30,2021-04-28,0.13,0.21,61.54
DTE,2016-07-26,2016-07-26,0.89,0.98,10.24
DTE,2016-10-26,2016-10-26,1.63,1.96,20.1
DTE,2017-02-09,2017-02-09,0.86,0.81,-5.37
DTE,2017-04-26,2017-04-26,1.56,1.79,14.82
DTE,2017-07-26,2017-07-26,1.0,1.07,6.79
DTE,2017-10-25,2017-10-25,1.56,1.48,-5.13
DTE,2018-02-16,2018-02-16,1.19,1.26,5.97
DTE,2018-04-25,2018-04-25,1.89,1.91,0.9
DTE,2018-07-25,2018-07-25,1.13,1.36,20.35
DTE,2018-10-24,2018-10-24,1.77,2.13,20.54
DTE,2019-02-07,2019-02-07,0.93,0.91,-2.47
DTE,2019-04-24,2019-04-24,1.95,2.05,5.07
DTE,2019-07-24,2019-07-24,1.07,0.99,-7.74
DTE,2019-10-28,2019-10-28,1.97,1.91,-3.09
DTE,2020-02-05,2020-02-05,1.3,1.35,4.01
DTE,2020-04-28,2020-04-28,1.74,1.66,-4.43
DTE,2020-07-28,2020-07-28,1.28,1.53,19.34
DTE,2020-10-27,2020-10-27,2.07,2.61,26.15
DTE,2021-02-19,2021-02-19,1.24,1.39,11.74
DTE,2021-04-27,2021-04-27,2.17,2.44,12.18
DVA,2016-08-08,2016-08-08,0.98,1.01,3.48
DVA,2016-11-02,2016-11-02,0.93,0.95,1.71
DVA,2017-02-24,2017-02-16,0.91,0.98,8.05
DVA,2017-05-02,2017-05-02,0.82,0.79,-3.07
DVA,2017-08-01,2017-08-01,0.9,0.92,2.0
DVA,2017-11-07,2017-11-07,0.94,0.81,-14.1
DVA,2018-02-23,2018-02-13,0.94,0.92,-2.44
DVA,2018-05-03,2018-05-03,0.93,1.05,13.51
DVA,2018-08-01,2018-08-01,0.97,1.05,8.36
DVA,2018-11-07,2018-11-07,0.87,0.56,-35.85
DVA,2019-02-22,2019-02-13,0.9,0.9,0.56
DVA,2019-05-07,2019-05-07,0.93,0.91,-2.36
DVA,2019-08-02,2019-08-01,1.11,1.22,10.11
DVA,2019-11-07,2019-11-05,1.24,1.53,23.19
DVA,2020-02-21,2020-02-10,1.66,1.86,11.78
DVA,2020-05-05,2020-05-05,1.47,1.83,24.15
DVA,2020-07-30,2020-07-30,1.3,1.95,50.0
DVA,2020-10-29,2020-10-29,1.44,1.8,25.09
DVA,2021-02-12,2021-02-11,1.87,1.67,-10.74
DVA,2021-04-29,2021-04-29,1.82,2.09,15.15
DVN,2016-08-03,2016-08-02,-0.19,0.06,132.09
DVN,2016-11-02,2016-11-01,0.05,0.09,66.67
DVN,2017-02-15,2017-02-14,0.21,0.25,19.05
DVN,2017-05-03,2017-05-02,0.4,0.41,3.54
DVN,2017-08-02,2017-08-01,0.32,0.34,6.25
DVN,2017-11-01,2017-10-31,0.38,0.46,22.34
DVN,2018-02-21,2018-02-20,0.63,0.38,-39.59
DVN,2018-05-02,2018-05-01,0.2,0.2,0.5
DVN,2018-08-01,2018-07-31,0.36,0.34,-5.56
DVN,2018-11-07,2018-11-06,0.42,0.65,55.13
DVN,2019-02-20,2019-02-19,0.32,0.1,-68.55
DVN,2019-05-01,2019-04-30,0.28,0.36,28.57
DVN,2019-08-07,2019-08-06,0.34,0.23,-33.14
DVN,2019-11-06,2019-11-05,0.16,0.29,76.83
DVN,2020-02-19,2020-02-18,0.32,0.36,11.8
DVN,2020-05-06,2020-05-05,-0.22,0.13,158.56
DVN,2020-08-05,2020-08-04,-0.26,-0.18,30.5
DVN,2020-10-30,2020-10-29,-0.1,-0.04,58.76
DVN,2021-02-17,2021-02-16,0.03,0.0,-100.0
DVN,2021-05-05,2021-05-04,0.33,0.45,35.95
DXCM,2017-08-01,2017-08-01,-0.21,-0.16,25.58
DXCM,2017-11-01,2017-11-01,-0.16,-0.04,74.68
DXCM,2018-02-27,2018-02-27,0.03,0.1,284.62
DXCM,2018-05-02,2018-05-02,-0.33,-0.32,2.14
DXCM,2018-08-01,2018-08-01,-0.18,-0.1,45.36
DXCM,2018-11-06,2018-11-06,-0.1,0.17,270.0
DXCM,2019-02-21,2019-02-21,0.17,0.54,221.43
DXCM,2019-05-01,2019-05-01,-0.16,-0.05,68.15
DXCM,2019-07-31,2019-07-31,0.01,0.08,515.38
DXCM,2019-11-06,2019-11-06,0.2,0.65,218.63
DXCM,2020-02-13,2020-02-13,0.74,1.15,55.83
DXCM,2020-04-28,2020-04-28,0.14,0.44,207.69
DXCM,2020-07-28,2020-07-28,0.09,0.2,127.59
DXCM,2020-10-27,2020-10-27,0.16,0.24,45.06
